Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,George Graham,Tony Adams,Adidas,JVC
Aston Villa,Ron Atkinson,Kevin Richardson,Umbro,Mita Copiers
Blackburn Rovers,Kenny Dalglish,Tim Sherwood,Asics,McEwan's Lager
Chelsea,David Webb (caretaker),Andy Townsend,Umbro,Commodore International
Coventry City,Bobby Gould,Brian Borrows,Ribero,Peugeot
Crystal Palace,Steve Coppell,Geoff Thomas,Bukta (until December) Ribero (from December),Tulip Computers
Everton,Howard Kendall,Dave Watson,Umbro,NEC
Ipswich Town,John Lyall,David Linighan,Umbro,Fisons
Leeds United,Howard Wilkinson,Gordon Strachan,Admiral,Admiral
Liverpool,Graeme Souness,Mark Wright,Adidas,Carlsberg
Manchester City,Peter Reid,Terry Phelan,Umbro,Brother Industries
Manchester United,Alex Ferguson,Bryan Robson,Umbro,Sharp
Middlesbrough,Lennie Lawrence,Alan Kernaghan,Admiral,Imperial Chemical Industries(ICI)
Norwich City,Mike Walker,Ian Butterworth,Ribero,Norwich and Peterborough
Nottingham Forest,Brian Clough,Stuart Pearce,Umbro,"Shipstones (home), Labatt's (away)"
Oldham Athletic,Joe Royle,Mike Milligan,Umbro,JD Sports
Queens Park Rangers,Gerry Francis,Alan McDonald,Clubhouse,Classic FM
Sheffield United,Dave Bassett,Brian Gayle,Umbro,Laver
Sheffield Wednesday,Trevor Francis,Nigel Pearson,Umbro,Sanderson
Southampton,Ian Branfoot,Glenn Cockerill,Admiral,Draper Tools
Tottenham Hotspur,Doug Livermore  Ray Clemence,Gary Mabbutt,Umbro,Holsten
Wimbledon,Joe Kinnear,John Scales,Admiral,
