رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال منچستر یونایتد (C),۳۸,۲۵,۸,۵,۷۴,۳۴,۴۰+,۸۳,Qualification for the Champions League group stage
۲,باشگاه فوتبال آرسنال,۳۸,۲۳,۹,۶,۸۵,۴۲,۴۳+,۷۸,Qualification for the Champions League group stage
۳,باشگاه فوتبال نیوکاسل یونایتد,۳۸,۲۱,۶,۱۱,۶۳,۴۸,۱۵+,۶۹,Qualification for the Champions League third qualifying round
۴,باشگاه فوتبال چلسی,۳۸,۱۹,۱۰,۹,۶۸,۳۸,۳۰+,۶۷,Qualification for the Champions League third qualifying round
۵,باشگاه فوتبال لیورپول,۳۸,۱۸,۱۰,۱۰,۶۱,۴۱,۲۰+,۶۴,Qualification for the UEFA Cup first round[a]
۶,باشگاه فوتبال بلکبرن روورز,۳۸,۱۶,۱۲,۱۰,۵۲,۴۳,۹+,۶۰,Qualification for the UEFA Cup first round[a]
۷,باشگاه فوتبال اورتون,۳۸,۱۷,۸,۱۳,۴۸,۴۹,۱−,۵۹,
۸,باشگاه فوتبال ساوت‌همپتون,۳۸,۱۳,۱۳,۱۲,۴۳,۴۶,۳−,۵۲,Qualification for the UEFA Cup first round[b]
۹,باشگاه فوتبال منچستر سیتی,۳۸,۱۵,۶,۱۷,۴۷,۵۴,۷−,۵۱,Qualification for the UEFA Cup qualifying round[c]
۱۰,باشگاه فوتبال تاتنهام هاتسپر,۳۸,۱۴,۸,۱۶,۵۱,۶۲,۱۱−,۵۰,
۱۱,باشگاه فوتبال میدلزبرو,۳۸,۱۳,۱۰,۱۵,۴۸,۴۴,۴+,۴۹,
۱۲,باشگاه فوتبال چارلتون اتلتیک,۳۸,۱۴,۷,۱۷,۴۵,۵۶,۱۱−,۴۹,
۱۳,باشگاه فوتبال بیرمنگام سیتی,۳۸,۱۳,۹,۱۶,۴۱,۴۹,۸−,۴۸,
۱۴,باشگاه فوتبال فولام,۳۸,۱۳,۹,۱۶,۴۱,۵۰,۹−,۴۸,
۱۵,باشگاه فوتبال لیدز یونایتد,۳۸,۱۴,۵,۱۹,۵۸,۵۷,۱+,۴۷,
۱۶,باشگاه فوتبال استون ویلا,۳۸,۱۲,۹,۱۷,۴۲,۴۷,۵−,۴۵,
۱۷,باشگاه فوتبال بولتون واندررز,۳۸,۱۰,۱۴,۱۴,۴۱,۵۱,۱۰−,۴۴,
۱۸,باشگاه فوتبال وستهام یونایتد (R),۳۸,۱۰,۱۲,۱۶,۴۲,۵۹,۱۷−,۴۲,Relegation to Football League First Division
۱۹,باشگاه فوتبال وست برومویچ آلبیون (R),۳۸,۶,۸,۲۴,۲۹,۶۵,۳۶−,۲۶,Relegation to Football League First Division
۲۰,باشگاه فوتبال ساندرلند (R),۳۸,۴,۷,۲۷,۲۱,۶۵,۴۴−,۱۹,Relegation to Football League First Division
