تیم,محل,ورزشگاه,ظرفیت ورزشگاه۱
آرسنال,لندن,ورزشگاه امارات,۶۰٬۳۶۱
استون ویلا,بیرمنگام,ویلا پارک,۴۲٬۷۸۸
بیرمنگام,بیرمنگام,ورزشگاه سنت آندرو,۳۰٬۰۷۹
بلکبرن راورز,بلکبرن,ایوود پارک,۳۱٬۳۶۷
بلکپول,بلک پول,ورزشگاه بلومفیلد رود,۱۶٬۲۲۰
بولتون واندررز,بولتون,ورزشگاه ریباک,۲۸٬۷۲۳
چلسی,لندن,ورزشگاه استمفورد بریج,۴۲٬۴۴۹
اورتون,لیورپول,گودیسون پارک,۴۰٬۱۵۷
فولام,لندن,ورزشگاه کریون کاتج,۲۵٬۷۰۰
لیورپول,لیورپول,آنفیلد,۴۵٬۲۷۶
منچستر سیتی,منچستر,ورزشگاه شهر منچستر,۴۷٬۴۰۵
منچستر یونایتد,منچستر,الدترافورد,۷۵٬۹۵۷
نیوکاسل یونایتد,نیوکاسل,سنت جیمز پارک,۵۲٬۳۸۷
استوک سیتی,استوک,ورزشگاه بریتانیا,۲۸٬۳۸۳
ساندرلند,ساندرلند,ورزشگاه آف لایت,۴۹٬۰۰۰
تاتنهام هاتسپر,لندن,ورزشگاه وایت هارت لین,۳۶٬۲۳۰
وست برومویچ,وست برومویچ,ورزشگاه هاوتورنز,۲۸٬۰۰۰
وستهام یونایتد,لندن,ورزشگاه بولین گراند,۳۵٬۳۰۳
ویگان اتلتیک,ویگان,ورزشگاه دی دابلیو,۲۵٬۱۳۳
ولورهمپتون واندررز,ولورهمپتون,ورزشگاه مولینکس,۲۹٬۱۹۵
