#,Football club,Home games,Average attendance[151]
1,Manchester United,19,75290
2,Arsenal FC,19,59957
3,West Ham United,19,56972
4,Manchester City,19,54019
5,Liverpool FC,19,53016
6,Chelsea FC,19,41508
7,Sunderland AFC,19,41287
8,Everton FC,19,39310
9,Leicester City,19,31893
10,Tottenham Hotspur,19,31639
11,Southampton FC,19,30936
12,Middlesbrough FC,19,30449
13,Stoke City,19,27433
14,Crystal Palace,19,25161
15,West Bromwich Albion,19,23876
16,Hull City,19,20761
17,Swansea City,19,20619
18,Watford FC,19,20558
19,Burnley FC,19,20558
20,AFC Bournemouth,19,11182
