خانه \ خارج از خانه,ARS,BOU,BUR,CHE,CRY,EVE,HUL,LEI,LIV,MCI,MUN,MID,SOU,STK,SUN,SWA,TOT,WAT,WBA,WHU
آرسنال,—,۳–۱,۲–۱,۳–۰,۲–۰,۳–۱,۲–۰,۱–۰,۳–۴,۲–۲,,۰–۰,۲–۱,۳–۱,۲–۰,۳–۲,۱–۱,۱–۲,۱–۰,۳–۰
ای‌اف‌سی بورنموث,۳–۳,—,۲–۱,۱–۳,۰–۲,۱–۰,۶–۱,۱–۰,۴–۳,۰–۲,۱–۳,۴–۰,۱–۳,۲–۲,۱–۲,۲–۰,۰–۰,۲–۲,۱–۰,۳–۲
برنلی,۰–۱,۳–۲,—,۱–۱,۳–۲,۲–۱,۱–۱,۱–۰,۲–۰,۱–۲,۰–۲,۱–۰,۱–۰,۱–۰,۴–۱,۰–۱,۰–۲,۲–۰,۲–۲,۱–۲
چلسی,۳–۱,۳–۰,۳–۰,—,۱–۲,۵–۰,۲–۰,۳–۰,۱–۲,۲–۱,۴–۰,۳–۰,۴–۲,۴–۲,۵–۱,۳–۱,۲–۱,۴–۳,۱–۰,۲–۱
کریستال پالاس,۳–۰,۱–۱,۰–۲,۰–۱,—,۰–۱,۴–۰,۲–۲,۲–۴,۱–۲,۱–۲,۱–۰,۳–۰,۴–۱,۰–۴,۱–۲,۰–۱,۱–۰,۰–۱,۰–۱
اورتون,۲–۱,۶–۳,۳–۱,۰–۳,۱–۱,—,۴–۰,۴–۲,۰–۱,۴–۰,۱–۱,۳–۱,۳–۰,۱–۰,۲–۰,۱–۱,۱–۱,۱–۰,۳–۰,۲–۰
هال سیتی,۱–۴,۳–۱,۱–۱,۰–۲,۳–۳,۲–۲,—,۲–۱,۲–۰,۰–۳,۰–۱,۴–۲,۲–۱,۰–۲,۰–۲,۲–۱,۱–۷,۲–۰,۱–۱,۲–۱
لستر سیتی,۰–۰,۱–۱,۳–۰,۰–۳,۳–۱,۰–۲,۳–۱,—,۳–۱,۴–۲,۰–۳,۲–۲,۰–۰,۲–۰,۲–۰,۲–۱,۱–۶,۳–۰,۱–۲,۱–۰
لیورپول,۳–۱,۲–۲,۲–۱,۱–۱,۱–۲,۳–۱,۵–۱,۴–۱,—,۱–۰,۰–۰,۳–۰,۰–۰,۴–۱,۲–۰,۲–۳,۲–۰,۶–۱,۲–۱,۲–۲
منچستر سیتی,۲–۱,۴–۰,۲–۱,۱–۳,۵–۰,۱–۱,۳–۱,۲–۱,۱–۱,—,۰–۰,۱–۱,۱–۱,۰–۰,۲–۱,۲–۱,۲–۲,۲–۰,۳–۱,۳–۱
منچستر یونایتد,۱–۱,۱–۱,۰–۰,۲–۰,۲–۰,۱–۱,۰–۰,۴–۱,۱–۱,۱–۲,—,۲–۱,۲–۰,۱–۱,۳–۱,۱–۱,۱–۰,۲–۰,۰–۰,۱–۱
میدلزبورو,۱–۲,۲–۰,۰–۰,۰–۱,۱–۲,۰–۰,۱–۰,۰–۰,۰–۳,۲–۲,۱–۳,—,۱–۲,۱–۱,۱–۰,۳–۰,۱–۲,۰–۱,۱–۱,۱–۳
ساوت‌همپتون,۰–۲,۰–۰,۳–۱,۰–۲,۳–۱,۱–۰,۰–۰,۳–۰,۰–۰,۰–۳,۰–۰,۱–۰,—,۰–۱,۱–۱,۱–۰,۱–۴,۱–۱,۱–۲,۱–۳
استوک سیتی,۱–۴,۰–۱,۲–۰,۱–۲,۱–۰,۱–۱,۳–۱,۲–۲,۱–۲,۱–۴,۱–۱,۲–۰,۰–۰,—,۲–۰,۳–۱,۰–۴,۲–۰,۱–۱,۰–۰
ساندرلند,۱–۴,۰–۱,۰–۰,۰–۱,۲–۳,۰–۳,۳–۰,۲–۱,۲–۲,۰–۲,۰–۳,۱–۲,۰–۴,۱–۳,—,۰–۲,۰–۰,۱–۰,۱–۱,۲–۲
سوانزی سیتی,۰–۴,۰–۳,۳–۲,۲–۲,۵–۴,۱–۰,۰–۲,۲–۰,۱–۲,۱–۳,۱–۳,۰–۰,۲–۱,۲–۰,۳–۰,—,۱–۳,۰–۰,۲–۱,۱–۴
تاتنهام هاتسپر,۲–۰,۴–۰,۲–۱,۲–۰,۱–۰,۳–۲,۳–۰,۱–۱,۱–۱,۲–۰,۲–۱,۱–۰,۲–۱,۴–۰,۱–۰,۵–۰,—,۴–۰,۴–۰,۳–۲
واتفورد,۱–۳,۲–۲,۲–۱,۱–۲,۱–۱,۳–۲,۱–۰,۲–۱,۰–۱,۰–۵,۳–۱,۰–۰,۳–۴,۰–۱,۱–۰,۱–۰,۱–۴,—,۲–۰,۱–۱
وست برومویچ آلبیون,۳–۱,۲–۱,۴–۰,۰–۱,۰–۲,۱–۲,۳–۱,۰–۱,۰–۱,۰–۴,۰–۲,۰–۰,۰–۱,۱–۰,۲–۰,۳–۱,۱–۱,۳–۱,—,۴–۲
وستهام یونایتد,۱–۵,۱–۰,۱–۰,۱–۲,۳–۰,۰–۰,۱–۰,۲–۳,۰–۴,۰–۴,۰–۲,۱–۱,۰–۳,۱–۱,۱–۰,۱–۰,۱–۰,۲–۴,۲–۲,—
