تیم,سرمربی,کاپیتان,تولیدکننده لباس,حامی مالی (سینه),حامی مالی (آستین چپ)
آرسنال,اونای امری,لورن کوشیلنی[۳],پوما[۴],امارات[۵],Visit Rwanda[۶]
بورنموث,ادی هوو,سایمن فرانسیس[۷],آمبرو[۸],M88[۹],M88[۱۰]
برایتون اند هوو آلبیون,کریس هیوتن,برونو,نایکی[۱۱],آمریکن اکسپرس[۱۱],JD[۱۲]
برنلی,شان دایچ,تام هیتون[۱۳],پوما[۱۴],دافابت[۱۵],—
کاردیف سیتی,نیل وارناک,سین موریسون,آدیداس,Tourism Malaysia,JD[۱۶]
چلسی,مائوریتسیو ساری,گری کیهیل[۱۷],نایکی[۱۸],یوکوهاما[۱۹],هیوندای موتور[۲۰]
کریستال پالاس,روی هاجسون,لوکا میلیوویویچ[۲۱],Puma[۲۲],ManBetX[۲۳],Dongqiudi
اورتون,مارکو سیلوا,فیل جگیلکا,آمبرو[۲۴],اسپورت پزا[۲۵],پرندگان خشمگین[۲۶]
فولام,کلودیو رانیری,Tom Cairney,آدیداس,Dafabet,ICM[۲۷]
هادرزفیلد تاون,Jan Siewert,تامی اسمیت,Umbro[۲۸],OPE Sports[۲۹],Leisu Sports[۳۰]
لستر سیتی,کلود پوئل,وس مورگان[۳۱],Adidas[۳۲],King Power[۳۳],Bia Saigon[۳۴]
لیورپول,یورگن کلوپ,جوردن هندرسون[۳۵],نیو بالانس[۳۶],استاندارد چارترد[۳۷],وسترن یونیون[۳۸]
منچستر سیتی,پپ گواردیولا,وینسنت کمپانی[۳۹],نایکی[۴۰],هواپیمایی اتحاد[۴۱],Nexen Tire[۴۲]
منچستر یونایتد,اوله گونر سولشیر,آنتونیو والنسیا,آدیداس[۴۳],شورولت[۴۴],Kohler[۴۵]
نیوکاسل یونایتد,رافائل بنیتز,جمال لسلز,پوما[۴۶],Fun88[۴۷],—
ساوت‌همپتون,رالف هازنهوتل,پیر-امیل هویبرگ,آندر آرمور[۴۸],ویرجین مدیا[۴۹],ویرجین مدیا
تاتنهام هاتسپر,مائوریسیو پوچتینو,هوگو لیوریس[۵۰],نایکی[۵۱],ای‌آی‌ای[۵۲],—
واتفورد,خاوی گراسیا,تروی دینی[۵۳],آدیداس[۵۴],FxPro,MoPlay[۵۵]
وستهام یونایتد,مانوئل پیگرینی,مارک نوبل[۵۶],آمبرو[۵۷],Betway[۵۸],Basset & Gold[۵۹]
ولورهمپتون واندررز,نونو اسپیریتو سانتو,کونر کودی,آدیداس[۶۰],W88[۶۱],CoinDeal[۶۲]
