Player,For,Against,Result,Date
Erling Haaland,Manchester City,Ipswich Town,4–1 (H)[133],24 August 2024
Noni Madueke,Chelsea,Wolverhampton Wanderers,6–2 (A)[134],25 August 2024
Erling Haaland,Manchester City,West Ham United,3–1 (A)[135],31 August 2024
Cole Palmer4,Chelsea,Brighton & Hove Albion,4–2 (H)[136],28 September 2024
Kevin Schade,Brentford,Leicester City,4–1 (H)[137],30 November 2024
Justin Kluivert,Bournemouth,Wolverhampton Wanderers,4–2 (A)[138],30 November 2024
Alexander Isak,Newcastle United,Ipswich Town,4–0 (A)[139],21 December 2024
Amad Diallo,Manchester United,Southampton,3–1 (H)[140],16 January 2025
Justin Kluivert,Bournemouth,Newcastle United,4–1 (A)[141],18 January 2025
Dango Ouattara,Bournemouth,Nottingham Forest,5–0 (H)[142],25 January 2025
Chris Wood,Nottingham Forest,Brighton & Hove Albion,7–0 (H)[143],1 February 2025
Omar Marmoush,Manchester City,Newcastle United,4–0 (H)[144],15 February 2025
