Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (sleeve)
Arsenal,Mikel Arteta,Martin Ødegaard[31],Adidas[32],Emirates[33],Visit Rwanda[34]
Aston Villa,Unai Emery,John McGinn[35],Adidas[36],Betano[37],Trade Nation[38]
Bournemouth,Andoni Iraola,Adam Smith[39],Umbro[40],bj88[41],LEOS International[42]
Brentford,Thomas Frank,Christian Nørgaard[43],Umbro[44],Hollywoodbets[45],PensionBee[46]
Brighton & Hove Albion,Fabian Hürzeler,Lewis Dunk[47],Nike[48],American Express[48],Experience Kissimmee[49]
Chelsea,Enzo Maresca,Reece James[50],Nike[51],DAMAC Properties[a],Live Nation[b]
Crystal Palace,Oliver Glasner,Marc Guéhi[54],Macron[55],NET88[56],Kaiyun Sports[57]
Everton,David Moyes,Séamus Coleman[58],Castore[59],Stake.com[60],Christopher Ward[61]
Fulham,Marco Silva,Tom Cairney[62],Adidas[63],SBOTOP[64],WebBeds[65]
Ipswich Town,Kieran McKenna,Sam Morsy[66],Umbro[67],+–=÷× Tour[68],HaloITSM[69]
Leicester City,Ruud van Nistelrooy,Jamie Vardy,Adidas[70],BC.GAME[71],Bia Saigon[72]
Liverpool,Arne Slot,Virgil van Dijk[73],Nike[74],Standard Chartered[75],Expedia[76]
Manchester City,Pep Guardiola,Kevin De Bruyne,Puma[77],Etihad Airways[78],OKX[79]
Manchester United,Ruben Amorim,Bruno Fernandes[80],Adidas[81],Qualcomm Snapdragon[82],DXC Technology[83]
Newcastle United,Eddie Howe,Bruno Guimarães[84],Adidas[85],Sela[86],Noon[87]
Nottingham Forest,Nuno Espírito Santo,Ryan Yates,Adidas[88],Kaiyun Sports[89],Ideagen[90]
Southampton,Simon Rusk (interim),Jack Stephens[91],Puma[92],Rollbit[93],P&O Cruises[94]
Tottenham Hotspur,Ange Postecoglou,Son Heung-min[95],Nike[96],AIA[97],Kraken[98]
West Ham United,Graham Potter,Jarrod Bowen[99],Umbro[100],Betway[101],QuickBooks[102]
Wolverhampton Wanderers,Vítor Pereira,Nélson Semedo[c],Sudu[105],DEBET[106],JD Sports[107]
