بازیکن,برای,رقیب,نتیجه,تاریخ
ارلینگ هالند,Manchester City,Ipswich Town,4–1 (H)[۷۳],۲۴ اوت ۲۰۲۴
نونی مادوئکه,Chelsea,Wolverhampton Wanderers,6–2 (A)[۷۴],۲۵ اوت ۲۰۲۴
ارلینگ هالند,Manchester City,West Ham United,3–1 (A)[۷۵],۳۱ اوت ۲۰۲۴
کول پالمر4,Chelsea,Brighton & Hove Albion,4–2 (H)[۷۶],۲۸ سپتامبر ۲۰۲۴
کوین شاده,Brentford,Leicester City,4–1 (H)[۷۷],۳۰ نوامبر ۲۰۲۴
جاستین کلایورت,Bournemouth,Wolverhampton Wanderers,4–2 (A)[۷۸],۳۰ نوامبر ۲۰۲۴
الکساندر ایساک,Newcastle United,Ipswich Town,4–0 (A)[۷۹],۲۱ دسامبر ۲۰۲۴
اماد دیالو,Manchester United,Southampton,3–1 (H)[۸۰],۱۶ ژانویه ۲۰۲۵
جاستین کلایورت,Bournemouth,Newcastle United,4–1 (A)[۸۱],۱۸ ژانویه ۲۰۲۵
دانگو اواتارا,Bournemouth,Nottingham Forest,5–0 (H)[۸۲],۲۵ ژانویه ۲۰۲۵
کریس وود (بازیکن فوتبال، زاده ۱۹۹۱),Nottingham Forest,Brighton & Hove Albion,7–0 (H)[۸۳],۱ فوریه ۲۰۲۵
عمر مرموش,Manchester City,Newcastle United,4–0 (H)[۸۴],۱۵ فوریه ۲۰۲۵
