رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال لیورپول (C),۳۸,۲۵,۹,۴,۸۶,۴۱,۴۵+,۸۴,صعود به مرحله گروهی لیگ قهرمانان اروپا ۲۶–۲۰۲۵[a]
۲,باشگاه فوتبال آرسنال,۳۸,۲۰,۱۴,۴,۶۹,۳۴,۳۵+,۷۴,صعود به مرحله گروهی لیگ قهرمانان اروپا ۲۶–۲۰۲۵[a]
۳,باشگاه فوتبال منچستر سیتی,۳۸,۲۱,۸,۹,۷۲,۴۴,۲۸+,۷۱,صعود به مرحله گروهی لیگ قهرمانان اروپا ۲۶–۲۰۲۵[a]
۴,باشگاه فوتبال چلسی,۳۸,۲۰,۹,۹,۶۴,۴۳,۲۱+,۶۹,صعود به مرحله گروهی لیگ قهرمانان اروپا ۲۶–۲۰۲۵[a]
۵,باشگاه فوتبال نیوکاسل یونایتد,۳۸,۲۰,۶,۱۲,۶۸,۴۷,۲۱+,۶۶,صعود به مرحله گروهی لیگ قهرمانان اروپا ۲۶–۲۰۲۵[a]
۶,باشگاه فوتبال استون ویلا,۳۸,۱۹,۹,۱۰,۵۸,۵۱,۷+,۶۶,صعود به مرحله گروهی لیگ اروپا ۲۶–۲۰۲۵
۷,باشگاه فوتبال ناتینگهام فارست,۳۸,۱۹,۸,۱۱,۵۸,۴۶,۱۲+,۶۵,صعود به مرحله حذفی لیگ کنفرانس اروپا ۲۵–۲۰۲۴[b]
۸,باشگاه فوتبال برایتون اند هوو آلبیون,۳۸,۱۶,۱۳,۹,۶۶,۵۹,۷+,۶۱,
۹,باشگاه فوتبال ای‌اف‌سی بورنموث,۳۸,۱۵,۱۱,۱۲,۵۸,۴۶,۱۲+,۵۶,
۱۰,باشگاه فوتبال برنتفورد,۳۸,۱۶,۸,۱۴,۶۶,۵۷,۹+,۵۶,
۱۱,باشگاه فوتبال فولام,۳۸,۱۵,۹,۱۴,۵۴,۵۴,۰,۵۴,
۱۲,باشگاه فوتبال کریستال پالاس,۳۸,۱۳,۱۴,۱۱,۵۱,۵۱,۰,۵۳,صعود به مرحله گروهی لیگ اروپا ۲۶–۲۰۲۵[c]
۱۳,باشگاه فوتبال اورتون,۳۸,۱۱,۱۵,۱۲,۴۲,۴۴,۲−,۴۸,
۱۴,باشگاه فوتبال وستهام یونایتد,۳۸,۱۱,۱۰,۱۷,۴۶,۶۲,۱۶−,۴۳,
۱۵,باشگاه فوتبال منچستر یونایتد,۳۸,۱۱,۹,۱۸,۴۴,۵۴,۱۰−,۴۲,
۱۶,باشگاه فوتبال ولورهمپتون واندررز,۳۸,۱۲,۶,۲۰,۵۴,۶۹,۱۵−,۴۲,
۱۷,باشگاه فوتبال تاتنهام هاتسپر,۳۸,۱۱,۵,۲۲,۶۴,۶۵,۱−,۳۸,صعود به مرحله گروهی لیگ قهرمانان اروپا ۲۶–۲۰۲۵[d]
۱۸,باشگاه فوتبال لستر سیتی (R),۳۸,۶,۷,۲۵,۳۳,۸۰,۴۷−,۲۵,سقوط به چمپیونشیپ
۱۹,باشگاه فوتبال ایپسویچ تاون (R),۳۸,۴,۱۰,۲۴,۳۶,۸۲,۴۶−,۲۲,سقوط به چمپیونشیپ
۲۰,باشگاه فوتبال ساوت‌همپتون (R),۳۸,۲,۶,۳۰,۲۶,۸۶,۶۰−,۱۲,سقوط به چمپیونشیپ
