تیم,مکان,ورزشگاه,گنجایش
آرسنال,لندن,ورزشگاه امارات,۶۰٬۷۰۴
استون ویلا,بیرمنگام,ویلا پارک,۴۲٬۶۵۷
بورنموث,بورنموث,دین کورت,۱۱٬۳۰۷
برنتفورد,لندن,گریفین پارک,۱۷٬۲۵۰
باشگاه فوتبال برایتون اند هوو آلبیون,برایتون,ورزشگاه فالمر,۳۱٬۸۷۶
چلسی,لندن,استمفورد بریچ,۴۰٬۳۴۳
کریستال پالاس,لندن,ورزشگاه سلهارست پارک,۲۵٬۴۸۶
اورتون,لیورپول,گودیسون پارک,۳۹٬۴۱۴
فولام,لندن,کریون کوتیج,۲۴٬۵۰۰
لستر سیتی,لستر,ورزشگاه کینگ پاور,۳۲٬۲۶۲
باشگاه فوتبال لیورپول,لیورپول,آنفیلد,۶۱٬۲۷۶
منچستر سیتی,منچستر,ورزشگاه شهر منچستر,۵۳٬۴۰۰
منچستر یونایتد,منچستر,اولدترافورد,۷۴٬۰۳۱
باشگاه فوتبال نیوکاسل یونایتد,نیوکاسل,سنت جیمز پارک,۵۲٬۲۵۷
تاتنهام هاتسپر,لندن,ورزشگاه تاتنهام هاتسپر,۶۲٬۸۵۰
باشگاه فوتبال وستهام یونایتد,لندن,ورزشگاه لندن,۶۲٬۵۰۰
ولورهمپتون واندررز,ولورهمپتون,ورزشگاه مالینیو,۳۱٬۷۵۰
