Player,For,Against,Result,Date,Ref
Dion Dublin,Coventry City,Chelsea,3–2 (A),9 August 1997,[6]
Chris Sutton,Blackburn Rovers,Aston Villa,4–0 (A),13 August 1997,[7]
Gianluca Vialli4 P,Chelsea,Barnsley,6–0 (A),24 August 1997,[8]
Dennis Bergkamp,Arsenal,Leicester City,3–3 (A),27 August 1997,[9]
Ian Wright,Arsenal,Bolton Wanderers,4–1 (H),13 September 1997,[10]
Patrik Berger,Liverpool,Chelsea,4–2 (H),5 October 1997,[11]
Andy Cole,Manchester United,Barnsley,7–0 (H),25 October 1997,[12]
Andy Booth,Sheffield Wednesday,Bolton Wanderers,5–0 (H),8 November 1997,[13]
Gianfranco Zola,Chelsea,Derby County,4–0 (H),29 November 1997,[14]
Tore André Flo,Chelsea,Tottenham Hotspur,6–1 (A),6 December 1997,[15]
Duncan Ferguson,Everton,Bolton Wanderers,3–2 (H),28 December 1997,[16]
Kevin Gallacher,Blackburn Rovers,Aston Villa,5–0 (H),17 January 1998,[17]
Michael Owen,Liverpool,Sheffield Wednesday,3–3 (A),14 February 1998,[18]
Chris Sutton,Blackburn Rovers,Leicester City,5–3 (A),28 February 1998,[19]
Darren Huckerby,Coventry City,Leeds United,3–3 (A),25 April 1998,[20]
Jürgen Klinsmann4,Tottenham Hotspur,Wimbledon,6–2 (A),2 May 1998,[21]
